1245,1001,5
1478,1001,7
1479,1001,3
2567,1001,6
2588,1002,8
2589,1002,9
3546,1002,10
3645,1002,5
3646,1003,2
3698,1003,4
4862,1004,6
4875,1004,7
5467,1004,8
5698,1004,9
6325,1005,4
6521,1005,7
6578,1005,3
7895,1005,6
7896,1006,10
8456,1007,7
8541,1008,8
8542,1009,9
9652,1010,3
9653,1011,6
9876,1012,7
1245,1013,4
1478,1014,8
1479,1015,9
2567,1016,10
2588,1017,3
2589,1018,7
3546,1019,8
3645,1020,9
3646,1021,4
3698,1022,7
4862,1023,8
4875,1024,6
5467,1025,9
5698,1026,4
6325,1027,8
6521,1028,9
6578,1029,3
