1234,1245,15,2022-01-01
3245,1478,10,2022-02-05
4321,1479,5,2022-03-10
5567,2567,12,2022-04-15
7890,2588,7,2022-05-20
5567,2589,20,2022-06-25
4321,3546,8,2022-07-30
3245,3645,16,2022-08-31
7890,3646,9,2022-09-30
4321,3698,14,2022-10-31
1234,4862,11,2022-11-30
5567,4875,6,2022-12-31
7890,5467,18,2023-01-31
4321,5698,3,2023-02-28
1234,6325,13,2023-03-31
7890,6521,20,2023-04-30
1234,6578,10,2023-05-31
7890,7895,16,2023-06-30
3245,7896,5,2023-07-31
7890,8456,8,2023-08-31
5567,8541,9,2023-09-30
4321,8542,12,2023-10-31
1234,9652,17,2023-11-30
3245,9653,6,2023-12-31
